序号	公司名称
1	达内时代科技集团有限公司
2	成都国信安信息产业基地有限公司
3	北京火星时代科技有限公司
4	上海博为峰软件技术股份有限公司
5	北京千锋互联科技有限公司
6	成都睿峰软件职业技能培训中心
7	成都华信智原科技有限公司
8	成都天纵科技有限公司
9	河南智游臻龙科技教育有限公司
10	广州多迪网络科技有限公司
11	成都盛课盟信息技术有限公司
12	北京华清远见教育科技有限公司
13	青麦教育科技集团
14	成都糖果时代科技有限公司
15	北京优创教育咨询有限公司
16	成都蜗牛创想科技有限公司
17	成都源代码教育咨询有限公司
18	北京阿博泰克北大青鸟信息技术有限公司
19	博创华宇（北京）科技有限公司
20	四川鼎育软件职业培训学校
21	成都翡翠教育咨询有限公司
22	成都尚学堂科技有限公司
23	成都米乐创兴教育科技有限公司
24	成都完美动力科技有限公司
25	成都川软信息技术有限公司
26	中软国际科技服务有限公司（人民公园）
27	汇众益智(北京)教育科技有限公司
28	成都华育信息技术职业技能培训学校
29	成都川铭教育科技有限公司
30	成都闪客信息技术有限公司
31	四川华迪信息技术有限公司
32	力方国际数字科技有限公司
33	成都鑫佳鑫科技有限公司
34	四川红糖科技有限公司
35	四川智汇蓝图科技有限责任公司
36	四川海德智和科技有限公司
37	成都智汇工场科技有限公司
38	华为高科软件有限公司
39	成都云知学科技有限公司
40	成都怪狗软件有限公司
41	成都暮光时代科技有限公司
42	成都睿远商务信息咨询有限公司
43	旅烨网络科技成都分公司
44	四川狮子座互联网科技有限公司
45	荣新中关村IT人才服务中心
46	成都睿峰科技有限公司
47	成都谢尔科技有限公司
48	华为高科(北京)软件有限公司
49	泸州掌宝合力科技有限公司
50	绵阳奇佳科技有限公司乐山分公司
51	泸州市博通科技开发有限公司
52	广州碧软信息科技有限公司
53	成都博为峰软件技术有限公司
54	中软创新(北京)科技有限公司
55	成都中软卓越信息技术有限公司
56	北京中软国际教育科技有限公司成都分公司
57	中软互联(北京)科技有限公司
58	中软国际有限公司
59	达内科技有限公司
60	成都兄弟连教育咨询有限公司
61	成都朗沃信息技术有限公司
62	四川百年有为教育咨询有限公司
63	贝立美科技有限公司
64	成都火山石网络科技有限公司
65	卓新智趣(北京)科技股份有限公司成都分公司
66	成都汇智动力信息技术有限公司
67	四川金明科技有限公司
68	黑马程序员
69	成都华炜云商科技有限公司----类似于培训
70	成都优才创智科技有限公司
71	成都爱尚智观科技有限公司
72	邦飞
73	成都市世纪云鼎信息技术有限公司
74	成都智云汇通科技有限公司
